Season,Team,GP,W,L,MIN,DEF_RTG,DREB,DREB%,STL,BLK,OPP_PTS_off_TOV,OPP_PTS_2nd_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2016-17,Los Angeles Lakers,82,26,56,48.1,112.0,32.1,71.7,8.2,3.9,18.0,13.3,16.2,47.4
2016-17,Phoenix Suns,82,24,58,48.4,111.3,33.1,71.8,8.2,4.9,18.1,13.5,16.0,44.0
2016-17,Brooklyn Nets,82,20,62,48.2,110.1,35.1,71.6,7.2,4.7,19.1,14.3,14.0,45.0
2017-18,Houston Rockets,82,65,17,48.2,105.7,34.5,75.0,8.5,4.8,15.8,11.9,11.9,48.0
2017-18,Toronto Raptors,82,59,23,48.4,105.3,34.2,72.5,7.6,6.1,15.0,13.2,11.6,45.3
2017-18,Golden State Warriors,82,58,24,48.1,106.8,35.1,71.2,8.0,7.5,18.5,13.7,14.1,47.4
2017-18,Boston Celtics,82,55,27,48.3,103.2,35.1,73.9,7.4,4.5,15.6,11.2,10.4,43.8
2017-18,Philadelphia 76ers,82,52,30,48.2,103.9,36.5,73.6,8.3,5.1,18.5,12.3,10.3,41.6
2017-18,Cleveland Cavaliers,82,50,32,48.1,111.1,33.7,73.0,7.1,3.8,16.5,12.7,11.3,47.0
2017-18,Portland Trail Blazers,82,49,33,48.2,105.7,35.3,74.6,7.0,5.2,14.9,11.7,11.3,42.1
2017-18,Indiana Pacers,82,48,34,48.2,107.3,32.7,72.1,8.8,4.1,14.8,12.8,12.3,44.8
2017-18,New Orleans Pelicans,82,48,34,48.7,107.4,35.6,72.6,8.0,5.9,17.3,13.8,14.2,47.7
2017-18,Oklahoma City Thunder,82,48,34,48.4,106.4,32.6,72.5,9.1,5.0,14.4,12.8,11.2,43.5
2017-18,Utah Jazz,82,48,34,48.2,103.0,34.2,75.6,8.6,5.1,16.4,10.8,9.5,41.8
2017-18,Minnesota Timberwolves,82,47,35,48.3,110.2,31.6,72.0,8.4,4.2,15.2,13.0,12.9,45.7
2017-18,San Antonio Spurs,82,47,35,48.1,104.1,33.9,74.1,7.7,5.6,15.0,12.2,12.5,44.1
2017-18,Denver Nuggets,82,46,36,48.5,110.0,33.5,73.6,7.6,4.9,18.7,11.2,13.0,47.3
2017-18,Miami Heat,82,44,38,48.6,105.8,34.2,74.1,7.6,5.3,15.6,11.8,11.0,43.5
2017-18,Milwaukee Bucks,82,44,38,48.4,109.1,31.5,70.9,8.8,5.4,15.8,13.0,10.1,47.3
2017-18,Washington Wizards,82,43,39,48.4,107.7,33.1,73.2,7.9,4.3,17.1,13.1,11.0,45.4
2017-18,LA Clippers,82,42,40,48.1,109.2,33.7,71.8,7.7,4.5,17.4,13.2,15.4,44.8
2017-18,Detroit Pistons,82,39,43,48.3,106.7,33.6,74.0,7.7,3.9,14.9,11.2,9.9,43.6
2017-18,Charlotte Hornets,82,36,46,48.2,109.0,35.4,76.3,6.8,4.5,14.8,10.7,10.7,45.2
2017-18,Los Angeles Lakers,82,35,47,48.5,107.3,35.7,72.9,7.7,4.7,18.2,13.5,12.7,49.0
2017-18,New York Knicks,82,29,53,48.4,109.7,33.6,72.7,6.7,5.1,17.4,13.2,11.4,43.4
2017-18,Brooklyn Nets,82,28,54,48.4,109.7,34.8,73.1,6.2,4.8,17.3,13.6,11.6,47.8
2017-18,Chicago Bulls,82,27,55,48.4,110.5,35.0,76.7,7.6,3.5,16.3,11.2,11.3,44.5
2017-18,Sacramento Kings,82,27,55,48.2,110.4,31.4,73.1,7.8,4.1,15.7,11.6,12.3,42.2
2017-18,Orlando Magic,82,25,57,48.1,109.4,32.8,71.4,7.6,4.9,17.0,12.8,12.9,48.3
2017-18,Atlanta Hawks,82,24,58,48.1,110.1,32.8,71.9,7.8,4.2,17.9,12.9,13.0,44.4
2017-18,Dallas Mavericks,82,24,58,48.3,108.4,33.1,74.9,7.0,3.8,13.9,11.4,14.3,42.2
2017-18,Memphis Grizzlies,82,22,60,48.1,110.4,31.0,72.1,7.5,4.8,17.3,11.8,14.3,42.1
2017-18,Phoenix Suns,82,21,61,48.1,111.7,33.9,72.4,6.9,4.5,18.6,13.2,14.6,47.1
2018-19,Milwaukee Bucks,82,60,22,48.2,104.9,40.4,75.7,7.5,5.9,14.6,12.1,11.0,42.2
2018-19,Toronto Raptors,82,58,24,48.5,106.8,35.6,72.6,8.3,5.3,15.9,12.9,13.5,47.5
2018-19,Golden State Warriors,82,57,25,48.3,108.6,36.5,72.7,7.6,6.4,17.4,13.8,15.1,47.1
2018-19,Denver Nuggets,82,54,28,48.1,108.1,34.5,74.4,7.7,4.4,15.0,12.1,12.2,48.9
2018-19,Houston Rockets,82,53,29,48.4,110.1,31.9,70.0,8.5,4.9,16.3,13.7,13.8,51.8
2018-19,Portland Trail Blazers,82,53,29,48.4,109.5,36.2,73.9,6.7,5.0,15.3,13.7,14.1,47.8
2018-19,Philadelphia 76ers,82,51,31,48.3,109.0,36.9,74.1,7.4,5.3,17.3,12.3,14.7,51.2
2018-19,Utah Jazz,82,50,32,48.2,105.3,36.4,75.9,8.1,5.9,16.9,11.2,11.4,47.7
2018-19,Boston Celtics,82,49,33,48.2,107.0,34.7,72.8,8.6,5.3,14.8,13.5,13.2,45.9
2018-19,Oklahoma City Thunder,82,49,33,48.4,106.5,35.5,73.8,9.3,5.2,16.0,12.5,12.3,48.4
2018-19,Indiana Pacers,82,48,34,48.1,106.0,33.7,72.2,8.7,4.9,14.9,13.3,14.0,44.8
2018-19,LA Clippers,82,48,34,48.4,110.4,35.8,72.2,6.8,4.7,17.7,13.8,14.8,51.1
